dataset,accuracy,time_training_seconds,time_test_seconds,our_accuracy,our_balanced_accuracy,our_macro_f1,our_train_time_seconds,our_test_time_seconds,train_size,test_size,series_length,num_classes,accuracy_diff,train_time_diff,test_time_diff
Ham,0.844762,0.25,0.1,0.7238095238095238,0.7205882352941176,0.7188106011635423,0.0834808349609375,0.041608333587646484,109,105,431,2,-0.12095247619047622,-0.1665191650390625,-0.05839166641235352
Haptics,0.546212,0.48,0.55,0.525974025974026,0.5239181103541324,0.5068991535191495,0.18317580223083496,0.1701953411102295,155,308,1092,5,-0.020237974025974048,-0.296824197769165,-0.37980465888977055
Herring,0.609375,0.19,0.06,0.703125,0.6953441295546559,0.6940880503144654,0.08698010444641113,0.05653715133666992,64,64,512,2,0.09375,-0.10301989555358887,-0.003462848663330076
HouseTwenty,0.965826,0.42,0.41,0.9663865546218487,0.9627536231884057,0.9653061224489796,0.21074795722961426,0.12077903747558594,40,119,2000,2,0.0005605546218487856,-0.20925204277038573,-0.28922096252441404
InlineSkate,0.464667,0.62,1.79,0.4727272727272727,0.4831957081603019,0.4737454956837722,0.17735028266906738,0.40264391899108887,100,550,1882,7,0.008060272727272721,-0.4426497173309326,-1.3873560810089112
InsectEPGRegularTrain,1.0,0.21,0.31,1.0,1.0,1.0,0.11806011199951172,0.10281229019165039,62,249,601,3,0.0,-0.09193988800048827,-0.2071877098083496
InsectEPGSmallTrain,0.99344,0.14,0.31,0.9919678714859438,0.9925093632958801,0.9884601832276251,0.08545112609863281,0.08430099487304688,17,249,601,3,-0.0014721285140562035,-0.0545488739013672,-0.22569900512695312
InsectWingbeatSound,0.65968,0.28,1.2,0.6737373737373737,0.6737373737373736,0.667381614410494,0.10898494720458984,0.3637049198150635,220,1980,256,11,0.014057373737373702,-0.17101505279541018,-0.8362950801849365
ItalyPowerDemand,0.959572,0.09,0.35,0.9611273080660836,0.9611326442721791,0.9611272713535568,0.07250404357910156,0.12361288070678711,67,1029,24,2,0.001555308066083616,-0.017495956420898434,-0.22638711929321287
LargeKitchenAppliances,0.9032,0.74,0.47,0.8666666666666667,0.8666666666666667,0.8663527014976582,0.26693010330200195,0.15944504737854004,375,375,720,3,-0.03653333333333331,-0.47306989669799804,-0.31055495262145993
Lightning2,0.751913,0.24,0.09,0.7540983606557377,0.751082251082251,0.751696065128901,0.1311957836151123,0.04101109504699707,60,61,637,2,0.0021853606557376004,-0.10880421638488769,-0.048988904953002926
Lightning7,0.778995,0.19,0.07,0.7808219178082192,0.77109440267335,0.768788229314545,0.07500314712524414,0.026952743530273438,70,73,319,7,0.0018269178082191972,-0.11499685287475586,-0.04304725646972657
Mallat,0.955892,0.31,3.74,0.949680170575693,0.9499610641730043,0.9491744088564034,0.07727909088134766,0.77730393409729,55,2345,1024,8,-0.0062118294243069805,-0.23272090911865234,-2.96269606590271
Meat,0.993333,0.18,0.05,0.9666666666666667,0.9666666666666667,0.967032967032967,0.11180806159973145,0.02663397789001465,60,60,448,3,-0.026666333333333347,-0.06819193840026855,-0.023366022109985354
MedicalImages,0.804386,0.37,0.34,0.8039473684210526,0.7396188759642579,0.753865094372905,0.12444806098937988,0.06182599067687988,381,760,99,10,-0.00043863157894741267,-0.2455519390106201,-0.27817400932312014
MiddlePhalanxOutlineAgeGroup,0.708009,0.37,0.06,0.577922077922078,0.4639110113248044,0.4763849231934338,0.11632728576660156,0.03729987144470215,400,154,80,3,-0.13008692207792205,-0.25367271423339843,-0.02270012855529785
MiddlePhalanxOutlineCorrect,0.842726,0.6,0.13,0.8625429553264605,0.8607469879518073,0.86002886002886,0.1989607810974121,0.04137897491455078,600,291,80,2,0.01981695532646055,-0.40103921890258787,-0.08862102508544922
MiddlePhalanxTW,0.590909,0.38,0.07,0.525974025974026,0.3803227931488801,0.3717010620798448,0.1550459861755371,0.027563095092773438,399,154,80,6,-0.06493497402597403,-0.2249540138244629,-0.04243690490722657
MixedShapesRegularTrain,0.969361,1.25,3.9,0.9715463917525773,0.9707073564457873,0.9715027954272429,0.3222038745880127,0.8460121154785156,500,2425,1024,5,0.0021853917525772593,-0.9277961254119873,-3.0539878845214843
