dataset,our_accuracy,our_balanced_accuracy,our_macro_f1,our_train_time_seconds,our_test_time_seconds,train_size,test_size,series_length,num_classes
Strawberry,0.981081081081081,0.9836070791953144,0.9795578497067854,0.33648204803466797,0.06684231758117676,613,370,235,2
SwedishLeaf,0.9712,0.972759538598048,0.971876922509178,0.27138209342956543,0.08484292030334473,500,625,128,15
Symbols,0.9829145728643216,0.9833630936478964,0.9831358358228015,0.08904695510864258,0.24260377883911133,25,995,398,6
SyntheticControl,0.9833333333333333,0.9833333333333333,0.9833286449893489,0.08323287963867188,0.04825901985168457,300,300,60,6
ToeSegmentation1,0.9605263157894737,0.9615740740740741,0.960489072879561,0.06270003318786621,0.05866384506225586,40,228,277,2
ToeSegmentation2,0.9230769230769231,0.9205974842767295,0.8831355627472133,0.1267251968383789,0.03854489326477051,36,130,343,2
Trace,1.0,1.0,1.0,0.06726694107055664,0.03227591514587402,100,100,275,4
TwoLeadECG,0.9982440737489026,0.9982456140350877,0.9982440723953998,0.05671381950378418,0.11601424217224121,23,1139,82,2
TwoPatterns,0.99675,0.9967620597698681,0.9967546741261208,0.696138858795166,0.40802788734436035,1000,4000,128,4
UMD,0.9930555555555556,0.9930555555555555,0.993054801953337,0.05292701721191406,0.08013010025024414,36,144,150,3
UWaveGestureLibraryAll,0.9720826353992184,0.9721153767647168,0.9719299256885189,0.6381828784942627,1.2111759185791016,896,3582,945,8
UWaveGestureLibraryX,0.8495254048017867,0.8480940010667029,0.8441713308235235,0.3807969093322754,0.5174942016601562,896,3582,315,8
UWaveGestureLibraryY,0.7752652149637074,0.7759308924111725,0.7723520640020773,0.38831615447998047,0.5944809913635254,896,3582,315,8
UWaveGestureLibraryZ,0.8015075376884422,0.8029899632151816,0.7970946531780334,0.36917567253112793,0.558582067489624,896,3582,315,8
Wafer,0.9991888384166125,0.9975625096565746,0.9978915929904292,0.7226707935333252,0.5751171112060547,1000,6164,152,2
Wine,0.9074074074074074,0.9074074074074074,0.9066067104808024,0.05255007743835449,0.02402806282043457,57,54,234,2
WordSynonyms,0.7554858934169278,0.6137796450255082,0.6259701021944777,0.13259220123291016,0.12810087203979492,267,638,270,25
Worms,0.7402597402597403,0.6958508158508159,0.7140495091762696,0.24428892135620117,0.04558420181274414,181,77,900,5
WormsTwoClass,0.7922077922077922,0.7878787878787878,0.7878787878787878,0.1879560947418213,0.043065786361694336,181,77,900,2
Yoga,0.9086666666666666,0.9067177830659208,0.9078870224244673,0.16469907760620117,0.6611580848693848,300,3000,426,2
